genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Documentary""]",Tread,en,4.162,"[""United States of America""]",2020-02-21,"[""English""]",6.7,35.0,2019.0
"[""Documentary""]",The Little Prince,ru,0.6,"[""Russia""]",2015-11-02,"[""Pусский""]",0.0,0.0,2015.0
"[""Drama""]",Egg,mn,3.788,"[""China"",""Mongolia""]",2019-10-03,"[""""]",6.6,19.0,2019.0
"[""Documentary""]",The Sunshine Makers,en,2.187,"[""United Kingdom""]",2015-11-01,"[""English""]",6.7,19.0,2015.0
"[""Romance"",""Horror"",""Comedy""]",Hope,en,0.6,"[""Norway""]",2017-03-27,"[""English""]",0.0,0.0,2017.0
"[""Action"",""Thriller""]",Close,en,19.642,"[""United States of America"",""United Kingdom""]",2019-01-18,"[""English"",""العربية"",""Français""]",5.8,658.0,2019.0
"[""Drama"",""Fantasy"",""Romance""]",The Shape of Water,en,46.979,"[""United States of America""]",2017-12-01,"[""English"",""Pусский""]",7.3,10161.0,2017.0
"[""Documentary""]",Bombshell: The Hedy Lamarr Story,en,7.364,"[""United States of America""]",2018-06-06,"[""Deutsch"",""English""]",7.0,75.0,2017.0
"[""Horror""]",VooDoo,en,2.843,"[""United States of America""]",2017-02-24,"[""English""]",4.7,16.0,2017.0
"[""Documentary""]",Dream Big: Engineering Our World,en,5.523,"[""United States of America""]",2017-02-17,"[""English""]",6.2,17.0,2017.0
"[""Drama"",""Comedy""]",Blinded by the Light,en,14.402,"[""United Kingdom""]",2019-08-09,"[""English""]",7.0,423.0,2019.0
"[""Science Fiction"",""Thriller""]",Exit,de,2.524,"[""Germany""]",2020-07-31,"[""English"",""Deutsch""]",5.9,12.0,2020.0
"[""Documentary""]",A Gray State,en,4.578,"[""United States of America""]",2017-08-07,"[""English""]",6.2,35.0,2017.0
"[""Documentary""]",Eating Animals,en,4.214,"[""United States of America""]",2018-06-15,"[""普通话"",""English""]",6.9,19.0,2017.0
"[""Drama""]",Old Stone,zh,1.422,"[""China"",""Canada""]",2016-02-12,"[""普通话""]",6.8,15.0,2016.0
"[""Western"",""Action"",""Thriller"",""Drama""]",Slow West,en,12.506,"[""New Zealand"",""United Kingdom""]",2015-04-16,"[""English"",""Français""]",6.7,776.0,2015.0
"[""Drama"",""Thriller""]",Alone,ko,0.6,"[""South Korea""]",2015-10-02,"[""한국어/조선말""]",5.0,2.0,2015.0
"[""Drama"",""Thriller""]",Custody,fr,9.023,"[""France""]",2018-01-25,"[""Español"",""Français""]",7.6,443.0,2017.0
"[""Drama""]",The Human Voice,en,6.972,"[""Spain""]",2020-09-03,"[""English"",""Español""]",6.9,65.0,2020.0
"[""Thriller"",""Horror"",""Drama""]",Alone,en,66.445,"[""United States of America""]",2020-09-10,"[""English"",""Deutsch""]",6.2,358.0,2020.0
"[""Drama"",""Music""]",Sound of Metal,en,17.635,"[""United States of America""]",2020-11-20,"[""English"",""Français""]",7.8,1564.0,2019.0
"[""Family""]",Birds of Passage,fr,1.122,"[""Belgium"",""France""]",2015-04-02,"[""Français""]",5.8,5.0,2015.0
"[""Family"",""Animation"",""Adventure"",""Comedy"",""Fantasy""]",Onward,en,53.151,"[""United States of America""]",2020-02-29,"[""English""]",7.8,4635.0,2020.0
"[""Documentary""]",Asperger's Are Us,en,3.151,"[""United States of America""]",2016-11-11,"[""English""]",5.9,13.0,2016.0
"[""Action"",""Thriller"",""Crime""]",Vikram Vedha,ta,5.883,"[""India""]",2017-07-21,"["""",""தமிழ்""]",7.5,112.0,2017.0
"[""Documentary""]",Toni Morrison: The Pieces I Am,en,3.446,"[""United States of America""]",2019-01-27,"[""English""]",7.7,13.0,2019.0
"[""Documentary""]",King Cohen: The Wild World of Filmmaker Larry Cohen,en,3.924,"[""United States of America""]",2018-07-07,"[""English""]",6.8,9.0,2017.0
"[""Drama""]",Summer 1993,ca,6.928,"[""Spain""]",2017-03-24,"[""Català""]",7.1,135.0,2017.0
"[""Animation"",""Drama"",""History""]",Funan,fr,4.978,"[""Belgium"",""Cambodia"",""France"",""Luxembourg""]",2019-03-06,"[""Français""]",7.1,39.0,2018.0
"[""Drama"",""Comedy""]",I'll See You in My Dreams,en,7.121,"[""United States of America""]",2015-05-15,"[""English""]",6.4,119.0,2015.0
"[""Thriller""]",Number 37,af,1.11,"[""South Africa""]",2018-06-01,"[""Afrikaans""]",5.4,14.0,2018.0
"[""War"",""Drama"",""Thriller""]",Son of Saul,hu,9.007,"[""Hungary""]",2015-06-11,"[""Deutsch"",""ελληνικά"",""עִבְרִית"",""Magyar"",""Polski"",""Pусский"",""Slovenčina"",""""]",7.2,798.0,2015.0
"[""Documentary""]",The Truffle Hunters,it,5.087,"[""Greece"",""Italy"",""United States of America""]",2020-12-25,"[""Italiano""]",7.9,12.0,2020.0
"[""History"",""Documentary""]",Colliding Dreams,en,3.671,"[""Palestinian Territory"",""United States of America"",""Israel""]",2015-01-22,"[""English""]",6.9,9.0,2015.0
"[""Drama""]",The Reports on Sarah and Saleem,ar,2.332,"[""Germany"",""Mexico"",""Netherlands"",""Palestinian Territory""]",2018-03-15,"[""English"",""العربية"",""עִבְרִית""]",7.1,33.0,2018.0
"[""Drama""]",As I Open My Eyes,fr,2.24,"[""United Arab Emirates"",""Tunisia"",""France"",""Belgium""]",2015-12-23,"[""العربية"",""Français""]",6.6,31.0,2015.0
"[""Drama"",""Comedy""]",Thunder Road,en,2.456,"[""United States of America""]",2016-01-23,"[""English""]",7.3,29.0,2016.0
"[""Music"",""Drama"",""Comedy"",""Family""]",Hearts Beat Loud,en,10.37,"[""United States of America""]",2018-06-08,"[""English""]",7.1,191.0,2018.0
"[""Documentary""]",Oklahoma City,en,4.813,"[""United States of America""]",2017-01-21,"[""English""]",7.0,46.0,2017.0
"[""Action"",""Thriller""]",Angel Has Fallen,en,32.901,"[""United States of America""]",2019-08-21,"[""English""]",6.5,2541.0,2019.0
"[""Drama"",""Comedy""]",Pig,fa,1.22,"[""Iran""]",2018-04-19,"[""English"",""فارسی"",""Türkçe""]",5.6,15.0,2018.0
"[""Comedy"",""Drama""]",Miss Stevens,en,7.635,"[""United States of America""]",2016-09-16,"[""English""]",6.6,172.0,2016.0
"[""Crime"",""Thriller"",""Action""]",Badlapur,hi,5.761,"[""India""]",2015-02-20,"[""हिन्दी""]",7.1,93.0,2015.0
"[""Comedy""]",Mister America,en,2.875,"[""United States of America""]",2019-10-09,"[""English""]",6.5,13.0,2019.0
"[""Documentary""]",Floyd Norman: An Animated Life,en,4.486,"[""United States of America""]",2016-02-05,"[""English""]",7.0,23.0,2016.0
"[""Drama""]",Loveless,ru,11.807,"[""Belgium"",""France"",""Germany"",""Russia""]",2017-06-01,"[""Pусский""]",7.4,563.0,2017.0
"[""Documentary""]",Among the Believers,en,2.945,"[""United States of America""]",2015-04-16,"[""English"",""اردو""]",7.0,18.0,2015.0
"[""Comedy"",""Drama""]",Grandma,en,11.607,"[""United States of America""]",2015-06-04,"[""English""]",6.4,290.0,2015.0
