year_film,year_ceremony,ceremony,canon_category,name,film,winner
2016,2017,89,SOUND EDITING,Robert Mackenzie/Andy Wright,Hacksaw Ridge,False
2016,2017,89,SOUND EDITING,Ai-Ling Lee/Mildred Iatrou Morgan,La La Land,False
2016,2017,89,SOUND EDITING,Alan Robert Murray/Bub Asman,Sully,False
2016,2017,89,SOUND MIXING,Bernard Gariépy Strobl/Claude La Haye,Arrival,False
2016,2017,89,SOUND MIXING,Kevin O'Connell/Andy Wright/Robert Mackenzie/Peter Grace,Hacksaw Ridge,True
2016,2017,89,SOUND MIXING,Andy Nelson/Ai-Ling Lee/Steve A. Morrow,La La Land,False
2016,2017,89,SOUND MIXING,David Parker/Christopher Scarabosio/Stuart Wilson,Rogue One: A Star Wars Story,False
2016,2017,89,SOUND MIXING,Gary Summers/Jeffrey J. Haboush/Mac Ruth,13 Hours: The Secret Soldiers of Benghazi,False
2016,2017,89,VISUAL EFFECTS,Craig Hammack/Jason Snell/Jason Billington/Burt Dalton,Deepwater Horizon,False
2016,2017,89,VISUAL EFFECTS,Stephane Ceretti/Richard Bluff/Vincent Cirelli/Paul Corbould,Doctor Strange,False
2016,2017,89,VISUAL EFFECTS,Robert Legato/Adam Valdez/Andrew R. Jones/Dan Lemmon,The Jungle Book,True
2016,2017,89,VISUAL EFFECTS,Steve Emerson/Oliver Jones/Brian McLean/Brad Schiff,Kubo and the Two Strings,False
2016,2017,89,VISUAL EFFECTS,John Knoll/Mohen Leo/Hal Hickel/Neil Corbould,Rogue One: A Star Wars Story,False
2016,2017,89,WRITING (Adapted Screenplay),Eric Heisserer,Arrival,False
2016,2017,89,WRITING (Adapted Screenplay),August Wilson,Fences,False
2016,2017,89,WRITING (Adapted Screenplay),Allison Schroeder/Theodore Melfi,Hidden Figures,False
2016,2017,89,WRITING (Adapted Screenplay),Luke Davies,Lion,False
2016,2017,89,WRITING (Adapted Screenplay),Barry Jenkins/Tarell Alvin McCraney,Moonlight,True
2016,2017,89,WRITING (Original Screenplay),Taylor Sheridan,Hell or High Water,False
2016,2017,89,WRITING (Original Screenplay),Damien Chazelle,La La Land,False
2016,2017,89,WRITING (Original Screenplay),Yorgos Lanthimos/Efthimis Filippou,The Lobster,False
2016,2017,89,WRITING (Original Screenplay),Kenneth Lonergan,Manchester by the Sea,True
2016,2017,89,WRITING (Original Screenplay),Mike Mills,20th Century Women,False
2017,2018,90,ACTOR IN A LEADING ROLE,Timothée Chalamet,Call Me by Your Name,False
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Phantom Thread,False
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Kaluuya,Get Out,False
2017,2018,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,True
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,The Florida Project,False
