title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
East Side Sushi,83.0,95.0,2015-09-18,"Comedy, Drama",English
Dunkirk,81.0,92.0,2017-07-21,"War, History, Drama",English
Test Pattern,51.0,96.0,2021-02-12,"Drama, Mystery & thriller",English
One Fine Morning,67.0,92.0,2022-12-09,"Drama, Romance",French (France)
Some Like It Rare,71.0,100.0,2022-10-07,"Horror, Comedy",French (France)
The Chambermaid,62.0,99.0,2019-06-26,Drama,Spanish
John Lewis: Good Trouble,66.0,94.0,2020-07-03,Documentary,English
American Murderer,94.0,76.0,2022-10-21,"Crime, Drama, Mystery & thriller",English
The Nile Hilton Incident,60.0,91.0,2017-08-11,"Mystery & thriller, Crime, Drama",Arabic
Graduation,82.0,94.0,2017-04-07,"Drama, Crime",Romanian
Belle,95.0,95.0,2022-01-14,"Fantasy, Adventure, Anime, Romance, Musical",Japanese
Women Who Kill,50.0,93.0,2017-07-26,"Comedy, Mystery & thriller, Lgbtq+",English
Bathtubs Over Broadway,90.0,100.0,2018-11-30,Documentary,English
Downton Abbey: A New Era,97.0,86.0,2022-05-20,Drama,English
The Alpinist,97.0,93.0,2021-09-10,Documentary,English
My Name Is Pauli Murray,89.0,93.0,2021-09-17,Documentary,English
Cemetery of Splendor,60.0,96.0,2016-03-04,Drama,Thai
A Cop Movie,79.0,93.0,2021-10-20,Drama,Spanish
Truman,80.0,99.0,2017-04-07,"Comedy, Drama",Spanish (Spain)
The Last Black Man in San Francisco,84.0,92.0,2019-06-07,Drama,English
Faults,68.0,92.0,2015-03-06,"Drama, Mystery & thriller",English
Man in Red Bandana,94.0,63.0,2017-09-08,Documentary,English
The Good Boss,86.0,92.0,2022-08-26,"Drama, Comedy",Spanish (Spain)
Gett: The Trial of Viviane Amsalem,81.0,100.0,2015-02-15,Drama,Hebrew
Ask Dr. Ruth,94.0,92.0,2019-05-03,Documentary,English
All Square,76.0,91.0,2018-10-12,Comedy,English
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,87.0,100.0,2015-02-27,"Documentary, Adventure",English
After Ever Happy,92.0,0.0,2022-09-07,"Romance, Drama",English
Radio Dreams,20.0,95.0,2017-05-19,Comedy,Persian
"Life, Animated",81.0,94.0,2016-07-01,Documentary,English
Outside In,77.0,96.0,2018-03-30,Drama,English
Lives Well Lived,89.0,100.0,2018-02-16,Documentary,English
"Bo Gia (Dad, I'm Sorry)",98.0,29.0,2021-05-28,"Comedy, Drama",Vietnamese
Jazz Fest: A New Orleans Story,97.0,93.0,2022-05-13,"Documentary, Music",English
Emergency,72.0,92.0,2022-05-20,"Comedy, Drama",English
Vitalina Varela,57.0,97.0,2020-02-21,Drama,Portuguese
Buoyancy,96.0,97.0,2020-09-11,Drama,English (Australia)
A Prayer Before Dawn,75.0,92.0,2018-08-10,"Action, Mystery & thriller",English
Faces Places,89.0,99.0,2017-10-06,Documentary,French (France)
Tahara,50.0,97.0,2022-06-10,Drama,English
At the Heart of Gold: Inside the USA Gymnastics Scandal,91.0,100.0,2019-05-03,Documentary,English
Monos,85.0,92.0,2019-09-13,"Mystery & thriller, Adventure",English
Funan,76.0,93.0,2019-06-07,Drama,French (France)
The Capote Tapes,88.0,93.0,2021-09-10,Documentary,English
Raya and the Last Dragon,97.0,94.0,2021-03-05,"Kids & family, Fantasy, Adventure, Animation",English
Whose Streets?,73.0,98.0,2017-08-11,Documentary,English
A Crime on the Bayou,80.0,100.0,2021-06-18,Documentary,English
A Midsummer Night's Dream,67.0,100.0,2015-06-22,"Comedy, Fantasy",English
Nasrin,100.0,93.0,2020-10-01,Documentary,Persian
Zama,56.0,96.0,2018-04-13,"History, Drama",Spanish
The Girl in the Book,55.0,93.0,2015-12-11,Drama,English
Bad Axe,100.0,96.0,2022-11-18,Documentary,English
The Wild Pear Tree,83.0,94.0,2019-01-30,Drama,Turkish
Rams,83.0,95.0,2016-02-03,"Comedy, Drama",Icelandic
Frantz,85.0,91.0,2017-03-15,"History, Drama",French (France)
The Personal History of David Copperfield,54.0,92.0,2020-08-28,"Comedy, Drama",English (United Kingdom)
Palm Springs,89.0,94.0,2020-07-10,"Romance, Comedy",English
The Diary of a Teenage Girl,73.0,95.0,2015-08-07,Drama,English
Sing Street,92.0,95.0,2016-05-13,"Comedy, Drama, Romance, Music",English
Heart of a Dog,64.0,96.0,2015-10-21,Documentary,English
Bad Blood: The Movie,81.0,100.0,2017-10-13,Horror,English
Billie,76.0,97.0,2020-12-04,"Documentary, Music, Biography",English
Logan Lucky,76.0,92.0,2017-08-18,"Comedy, Crime, Drama",English
A Quiet Place,83.0,96.0,2018-04-06,"Horror, Mystery & thriller",English
Sami Blood,84.0,97.0,2017-06-02,Drama,Swedish
Studio 54: The Documentary,74.0,91.0,2018-10-05,"Documentary, Lgbtq+",English
40 Years in the Making: The Magic Music Movie,97.0,93.0,2018-08-03,Documentary,English
Over the Limit,77.0,100.0,2018-10-12,Documentary,Russian
A Skin So Soft,55.0,94.0,2018-06-15,Documentary,English
This Is Congo,84.0,95.0,2018-06-29,"Documentary, History, Drama, War",English
Colliding Dreams,62.0,94.0,2016-02-19,Documentary,English
Mouthpiece,65.0,91.0,2019-05-31,Drama,English
Spies in Disguise,92.0,77.0,2019-12-25,"Kids & family, Comedy, Adventure, Action, Animation",English
Spirit Game: Pride of a Nation,100.0,88.0,2017-05-26,Documentary,English
Promare,93.0,97.0,2019-09-20,"Adventure, Sci-fi, Anime",Japanese
Billie Eilish: The World's a Little Blurry,95.0,96.0,2021-02-26,"Documentary, Music",English
1000 Rupee Note,92.0,80.0,2016-09-23,Drama,Marathi
Hagazussa: A Heathen's Curse,51.0,93.0,2019-04-19,Horror,German
