nomination_id,movie_id,year_film,year_ceremony,ceremony,canon_category,name,winner
218,403,2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Yeoh,True
219,438,2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Williams,False
220,743,2022,2023,95,ACTRESS IN A LEADING ROLE,Andrea Riseborough,False
221,1069,2022,2023,95,ACTRESS IN A LEADING ROLE,Cate Blanchett,False
222,403,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,True
223,922,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Barry Keoghan,False
224,438,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,False
225,922,2022,2023,95,ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,False
226,1232,2022,2023,95,ACTOR IN A LEADING ROLE,Bill Nighy,False
227,1049,2022,2023,95,ACTOR IN A LEADING ROLE,Paul Mescal,False
228,1105,2022,2023,95,ACTOR IN A LEADING ROLE,Brendan Fraser,True
229,810,2018,2019,91,WRITING (Adapted Screenplay),Charlie Wachtel/David Rabinowitz/Kevin Willmott/Spike Lee,True
230,449,2022,2023,95,ACTOR IN A LEADING ROLE,Austin Butler,False
231,345,2021,2022,94,WRITING (Original Screenplay),Paul Thomas Anderson,False
232,167,2021,2022,94,WRITING (Original Screenplay),Zach Baylin,False
233,369,2021,2022,94,WRITING (Original Screenplay),Kenneth Branagh,True
234,1082,2021,2022,94,WRITING (Adapted Screenplay),Jane Campion,False
235,1330,2021,2022,94,WRITING (Adapted Screenplay),Maggie Gyllenhaal,False
236,40,2021,2022,94,WRITING (Adapted Screenplay),Ryusuke Hamaguchi/Takamasa Oe,False
237,1428,2021,2022,94,WRITING (Adapted Screenplay),Siân Heder,True
238,1599,2021,2022,94,VISUAL EFFECTS,Kelly Port/Chris Waegner/Scott Edelstein/Dan Sudick,False
239,354,2021,2022,94,VISUAL EFFECTS,Christopher Townsend/Joe Farrell/Sean Noel Walker/Dan Oliver,False
240,1145,2021,2022,94,VISUAL EFFECTS,Swen Gillberg/Bryan Grill/Nikos Kalaitzidis/Dan Sudick,False
241,3,2021,2022,94,SOUND MIXING,Tod A. Maitland/Gary Rydstrom/Brian Chumney/Andy Nelson/Shawn Murphy,False
242,1082,2021,2022,94,SOUND MIXING,Richard Flynn/Robert Mackenzie/Tara Webb,False
243,369,2021,2022,94,SOUND MIXING,Denise Yarde/Simon Chase/James Mather/Niv Adiri,False
244,1418,2016,2017,89,DIRECTING,Denis Villeneuve,False
245,61,2016,2017,89,MUSIC (Original Score),Justin Hurwitz,True
246,445,2016,2017,89,MAKEUP AND HAIRSTYLING,Eva von Bahr/Love Larson,False
247,193,2016,2017,89,INTERNATIONAL FEATURE FILM,Germany,False
248,445,2016,2017,89,INTERNATIONAL FEATURE FILM,Sweden,False
249,662,2016,2017,89,FILM EDITING,Nat Sanders/Joi McMillon,False
250,61,2016,2017,89,FILM EDITING,Tom Cross,False
251,1540,2016,2017,89,FILM EDITING,Jake Roberts,False
252,626,2016,2017,89,FILM EDITING,John Gilbert,True
253,1418,2016,2017,89,FILM EDITING,Joe Walker,False
254,232,2016,2017,89,DOCUMENTARY (Feature),Roger Ross Williams/Julie Goldman,False
255,21,2016,2017,89,DOCUMENTARY (Feature),Gianfranco Rosi/Donatella Palermo,False
256,662,2016,2017,89,DIRECTING,Barry Jenkins,False
257,774,2016,2017,89,DIRECTING,Kenneth Lonergan,False
258,61,2016,2017,89,DIRECTING,Damien Chazelle,True
259,626,2016,2017,89,DIRECTING,Mel Gibson,False
260,448,2016,2017,89,MUSIC (Original Score),Dustin O'Halloran/Hauschka,False
261,61,2016,2017,89,COSTUME DESIGN,Mary Zophres,False
262,662,2016,2017,89,CINEMATOGRAPHY,James Laxton,False
263,448,2016,2017,89,CINEMATOGRAPHY,Greig Fraser,False
264,61,2016,2017,89,CINEMATOGRAPHY,Linus Sandgren,True
