movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
517,71.0,92.0,3.269,6.3,40.0
518,65.0,95.0,3.242,6.5,36.0
519,95.0,94.0,8.13,7.8,12.0
520,86.0,93.0,9.724,6.9,728.0
522,62.0,94.0,6.518,6.4,70.0
523,75.0,98.0,4.708,7.5,45.0
524,91.0,97.0,2.456,7.3,29.0
525,100.0,92.0,2.899,6.7,7.0
526,94.0,63.0,375.68,7.4,298.0
528,69.0,99.0,4.593,7.0,57.0
529,96.0,45.0,18.585,8.4,916.0
530,69.0,93.0,3.25,6.6,22.0
531,93.0,51.0,22.954,6.7,570.0
532,83.0,95.0,4.742,7.2,32.0
534,94.0,80.0,31.265,8.1,6711.0
535,99.0,33.0,2.813,6.5,2.0
538,87.0,100.0,1.947,7.1,6.0
539,100.0,64.0,2.379,7.5,39.0
541,64.0,91.0,2.737,5.0,24.0
542,87.0,92.0,22.33,7.6,2906.0
543,87.0,100.0,3.151,5.9,13.0
548,68.0,96.0,2.598,3.8,14.0
550,78.0,100.0,4.087,6.9,44.0
553,60.0,92.0,6.332,6.5,261.0
556,95.0,92.0,1.871,7.1,7.0
557,100.0,100.0,3.352,7.1,7.0
558,68.0,100.0,3.047,6.0,11.0
559,93.0,93.0,16.406,8.1,7612.0
562,82.0,96.0,5.049,4.0,2.0
563,73.0,95.0,3.955,6.2,41.0
564,74.0,92.0,12.506,6.7,776.0
566,90.0,99.0,75.787,8.5,12461.0
567,98.0,100.0,4.019,8.3,16.0
568,86.0,94.0,115.446,8.3,9605.0
570,80.0,100.0,2.741,4.3,13.0
573,61.0,97.0,4.333,6.3,48.0
574,89.0,97.0,35.615,8.1,410.0
575,92.0,83.0,3.467,7.4,8.0
576,83.0,94.0,29.89,7.2,3311.0
577,92.0,8.0,2354.466,5.6,12.0
578,92.0,91.0,222.986,7.7,3310.0
579,81.0,96.0,2.22,7.4,4.0
580,60.0,95.0,46.77,6.4,240.0
583,91.0,88.0,2.192,6.3,3.0
584,87.0,95.0,5.883,6.7,44.0
585,100.0,69.0,24.239,6.7,707.0
586,91.0,100.0,9.721,7.8,129.0
587,56.0,92.0,6.561,5.9,91.0
590,87.0,92.0,4.162,6.7,35.0
593,81.0,95.0,3.09,7.2,18.0
594,97.0,100.0,8.548,0.0,0.0
595,95.0,91.0,8.488,7.7,98.0
596,82.0,97.0,2.734,6.3,15.0
597,93.0,97.0,174.121,8.4,10146.0
599,84.0,91.0,6.131,7.2,71.0
600,57.0,100.0,1.561,6.8,5.0
601,89.0,98.0,47.999,7.6,10.0
602,93.0,13.0,332.364,7.3,4274.0
603,91.0,89.0,14.402,7.0,423.0
604,91.0,77.0,27.895,8.3,8393.0
605,86.0,92.0,6.881,7.6,105.0
606,81.0,98.0,15.908,6.8,991.0
608,91.0,91.0,52.459,7.7,16260.0
612,76.0,91.0,19.402,7.1,2820.0
614,70.0,93.0,17.082,7.6,4152.0
615,73.0,96.0,2.042,6.3,3.0
616,53.0,94.0,5.407,7.0,10.0
618,95.0,100.0,4.144,6.5,40.0
619,70.0,98.0,1.241,5.0,12.0
620,64.0,94.0,1.549,7.0,1.0
622,96.0,95.0,14.544,7.4,883.0
624,59.0,100.0,5.476,6.9,55.0
626,91.0,84.0,163.301,8.2,10151.0
627,94.0,58.0,2960.577,7.5,525.0
628,75.0,96.0,4.723,6.6,60.0
629,66.0,93.0,16.662,6.6,683.0
631,99.0,71.0,1.593,7.0,4.0
633,67.0,100.0,1.003,0.0,0.0
634,75.0,93.0,1.516,7.7,7.0
636,95.0,86.0,168.832,7.2,31.0
638,86.0,100.0,8.723,5.9,31.0
640,87.0,91.0,18.126,7.2,5673.0
641,88.0,93.0,0.95,6.0,11.0
642,62.0,92.0,3.581,7.0,6.0
643,88.0,100.0,5.221,6.8,23.0
644,93.0,93.0,3.143,8.0,6.0
645,77.0,97.0,8.368,7.0,231.0
646,83.0,100.0,3.053,6.6,5.0
653,87.0,92.0,7.698,6.8,228.0
654,76.0,95.0,3.561,6.7,26.0
655,45.0,93.0,10.186,7.8,16.0
656,67.0,100.0,1.073,6.7,11.0
657,93.0,64.0,130.563,7.4,7245.0
659,67.0,93.0,2.63,6.3,19.0
660,67.0,96.0,13.275,7.2,295.0
661,86.0,94.0,3.055,7.3,4.0
662,79.0,98.0,20.491,7.4,5834.0
663,93.0,93.0,48.089,8.1,7313.0
664,61.0,91.0,21.121,6.5,1785.0
665,94.0,34.0,14.072,6.6,1280.0
666,84.0,93.0,4.131,7.0,56.0
667,91.0,78.0,3.585,5.3,8.0
668,86.0,97.0,59.999,7.5,18614.0
669,82.0,96.0,0.6,5.3,4.0
670,89.0,100.0,6.018,6.7,233.0
671,83.0,96.0,7.905,7.4,131.0
672,94.0,100.0,9.882,7.4,110.0
673,83.0,95.0,1.11,8.0,10.0
674,92.0,85.0,5.992,0.0,0.0
675,75.0,100.0,3.021,0.0,0.0
677,82.0,100.0,2.613,6.7,6.0
679,89.0,91.0,14.235,0.0,0.0
680,91.0,98.0,1.4,0.0,0.0
683,85.0,98.0,10.383,7.3,106.0
684,35.0,92.0,3.562,5.8,9.0
685,36.0,93.0,2.531,5.1,14.0
686,100.0,81.0,7.384,7.6,380.0
690,91.0,96.0,12.56,7.5,1362.0
691,87.0,97.0,12.473,7.3,2616.0
698,94.0,97.0,393.975,8.2,14784.0
701,39.0,92.0,5.594,5.5,88.0
702,95.0,86.0,2.945,5.7,17.0
703,80.0,100.0,2.18,5.8,10.0
704,40.0,95.0,2.575,6.0,1.0
705,54.0,99.0,11.506,7.3,306.0
706,57.0,92.0,0.743,7.3,11.0
709,93.0,97.0,5.576,6.8,39.0
711,81.0,91.0,1.302,6.0,1.0
712,65.0,95.0,9.043,6.5,142.0
714,94.0,60.0,3.275,6.4,9.0
715,25.0,93.0,12.809,6.5,267.0
717,94.0,84.0,15.059,0.0,0.0
718,100.0,80.0,0.852,6.3,6.0
719,68.0,94.0,7.121,6.4,119.0
