year_film,year_ceremony,ceremony,canon_category,name,title,winner,nomination_id
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Richard Jenkins,The Shape of Water,False,193
2017,2018,90,ACTRESS IN A LEADING ROLE,Sally Hawkins,The Shape of Water,False,194
2017,2018,90,ACTRESS IN A LEADING ROLE,Margot Robbie,"I, Tonya",False,195
2017,2018,90,ACTRESS IN A LEADING ROLE,Meryl Streep,The Post,False,196
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Mary J. Blige,Mudbound,False,197
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya",True,198
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Lesley Manville,Phantom Thread,False,199
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Shape of Water,False,200
2017,2018,90,ANIMATED FEATURE FILM,Nora Twomey/Anthony Leo,The Breadwinner,False,201
2017,2018,90,ANIMATED FEATURE FILM,Lee Unkrich/Darla K. Anderson,Coco,True,202
2017,2018,90,ANIMATED FEATURE FILM,Dorota Kobiela/Hugh Welchman/Ivan Mactaggart,Loving Vincent,False,203
2017,2018,90,CINEMATOGRAPHY,Roger A. Deakins,Blade Runner 2049,True,204
2017,2018,90,CINEMATOGRAPHY,Bruno Delbonnel,Darkest Hour,False,205
2017,2018,90,CINEMATOGRAPHY,Hoyte van Hoytema,Dunkirk,False,206
2017,2018,90,CINEMATOGRAPHY,Rachel Morrison,Mudbound,False,207
2017,2018,90,CINEMATOGRAPHY,Dan Laustsen,The Shape of Water,False,208
2017,2018,90,COSTUME DESIGN,Jacqueline Durran,Darkest Hour,False,209
2017,2018,90,COSTUME DESIGN,Mark Bridges,Phantom Thread,True,210
2017,2018,90,COSTUME DESIGN,Luis Sequeira,The Shape of Water,False,211
2017,2018,90,DIRECTING,Christopher Nolan,Dunkirk,False,212
2017,2018,90,DIRECTING,Jordan Peele,Get Out,False,213
2017,2018,90,DIRECTING,Paul Thomas Anderson,Phantom Thread,False,214
2017,2018,90,DIRECTING,Guillermo del Toro,The Shape of Water,True,215
2017,2018,90,DOCUMENTARY (Feature),Steve James/Mark Mitten/Julie Goldman,Abacus: Small Enough to Jail,False,216
2017,2018,90,DOCUMENTARY (Feature),Agnès Varda/JR/Rosalie Varda,Faces Places,False,217
2017,2018,90,DOCUMENTARY (Feature),Feras Fayyad/Kareem Abeed/Søren Steen Jespersen,Last Men in Aleppo,False,218
2017,2018,90,DOCUMENTARY (Feature),Yance Ford/Joslyn Barnes,Strong Island,False,219
2017,2018,90,FILM EDITING,Paul Machliss/Jonathan Amos,Baby Driver,False,220
2017,2018,90,FILM EDITING,Lee Smith,Dunkirk,True,221
2017,2018,90,FILM EDITING,Tatiana S. Riegel,"I, Tonya",False,222
2017,2018,90,FILM EDITING,Sidney Wolinsky,The Shape of Water,False,223
2017,2018,90,INTERNATIONAL FEATURE FILM,Chile,A Fantastic Woman,True,224
2017,2018,90,INTERNATIONAL FEATURE FILM,Lebanon,The Insult,False,225
2017,2018,90,INTERNATIONAL FEATURE FILM,Russia,Loveless,False,226
2017,2018,90,INTERNATIONAL FEATURE FILM,Sweden,The Square,False,227
2017,2018,90,MAKEUP AND HAIRSTYLING,Kazuhiro Tsuji/David Malinowski/Lucy Sibbick,Darkest Hour,True,228
2017,2018,90,MAKEUP AND HAIRSTYLING,Arjen Tuiten,Wonder,False,229
2017,2018,90,MUSIC (Original Score),Hans Zimmer,Dunkirk,False,230
2017,2018,90,MUSIC (Original Score),Jonny Greenwood,Phantom Thread,False,231
2017,2018,90,MUSIC (Original Score),Alexandre Desplat,The Shape of Water,True,232
2017,2018,90,MUSIC (Original Score),John Williams,Star Wars: The Last Jedi,False,233
2017,2018,90,MUSIC (Original Song),Mary J. Blige/Raphael Saadiq/Taura Stinson,Mudbound,False,234
2017,2018,90,MUSIC (Original Song),Sufjan Stevens,Call Me by Your Name,False,235
2017,2018,90,MUSIC (Original Song),Kristen Anderson-Lopez/Robert Lopez,Coco,True,236
2017,2018,90,MUSIC (Original Song),Diane Warren/Lonnie R. Lynn,Marshall,False,237
2017,2018,90,MUSIC (Original Song),Benj Pasek/Justin Paul,The Greatest Showman,False,238
2017,2018,90,BEST PICTURE,Peter Spears/Luca Guadagnino/Emilie Georges/Marco Morabito,Call Me by Your Name,False,239
2017,2018,90,BEST PICTURE,Tim Bevan/Eric Fellner/Lisa Bruce/Anthony McCarten/Douglas Urbanski,Darkest Hour,False,240
2017,2018,90,BEST PICTURE,Emma Thomas/Christopher Nolan,Dunkirk,False,241
2017,2018,90,BEST PICTURE,Sean McKittrick/Jason Blum/Edward H. Hamm Jr./Jordan Peele,Get Out,False,242
2017,2018,90,BEST PICTURE,JoAnne Sellar/Paul Thomas Anderson/Megan Ellison/Daniel Lupi,Phantom Thread,False,243
2017,2018,90,BEST PICTURE,Amy Pascal/Steven Spielberg/Kristie Macosko Krieger,The Post,False,244
2017,2018,90,BEST PICTURE,Guillermo del Toro/J. Miles Dale,The Shape of Water,True,245
2017,2018,90,ART DIRECTION,Dennis Gassner/Alessandra Querzola,Blade Runner 2049,False,246
2017,2018,90,ART DIRECTION,Sarah Greenwood/Katie Spencer,Darkest Hour,False,247
2017,2018,90,ART DIRECTION,Nathan Crowley/Gary Fettis,Dunkirk,False,248
2017,2018,90,ART DIRECTION,Paul Denham Austerberry/Shane Vieau/Jeffrey A. Melvin,The Shape of Water,True,249
2017,2018,90,SHORT FILM (Live Action),Chris Overton/Rachel Shenton,The Silent Child,True,250
2017,2018,90,SOUND EDITING,Julian Slater,Baby Driver,False,251
2017,2018,90,SOUND EDITING,Mark Mangini/Theo Green,Blade Runner 2049,False,252
2017,2018,90,SOUND EDITING,Richard King/Alex Gibson,Dunkirk,True,253
2017,2018,90,SOUND EDITING,Nathan Robitaille/Nelson Ferreira,The Shape of Water,False,254
2017,2018,90,SOUND EDITING,Matthew Wood/Ren Klyce,Star Wars: The Last Jedi,False,255
2017,2018,90,SOUND MIXING,Julian Slater/Tim Cavagin/Mary H. Ellis,Baby Driver,False,256
2017,2018,90,SOUND MIXING,Ron Bartlett/Doug Hemphill/Mac Ruth,Blade Runner 2049,False,257
2017,2018,90,SOUND MIXING,Gregg Landaker/Gary A. Rizzo/Mark Weingarten,Dunkirk,True,258
2017,2018,90,SOUND MIXING,Christian Cooke/Brad Zoern/Glen Gauthier,The Shape of Water,False,259
2017,2018,90,SOUND MIXING,David Parker/Michael Semanick/Ren Klyce/Stuart Wilson,Star Wars: The Last Jedi,False,260
2017,2018,90,VISUAL EFFECTS,John Nelson/Gerd Nefzer/Paul Lambert/Richard R. Hoover,Blade Runner 2049,True,261
2017,2018,90,VISUAL EFFECTS,Christopher Townsend/Guy Williams/Jonathan Fawkner/Dan Sudick,Guardians of the Galaxy Vol. 2,False,262
2017,2018,90,VISUAL EFFECTS,Ben Morris/Mike Mulholland/Neal Scanlan/Chris Corbould,Star Wars: The Last Jedi,False,263
2017,2018,90,VISUAL EFFECTS,Joe Letteri/Daniel Barrett/Dan Lemmon/Joel Whist,War for the Planet of the Apes,False,264
2017,2018,90,WRITING (Adapted Screenplay),James Ivory,Call Me by Your Name,True,265
2017,2018,90,WRITING (Adapted Screenplay),Scott Neustadter/Michael H. Weber,The Disaster Artist,False,266
2017,2018,90,WRITING (Adapted Screenplay),Scott Frank/James Mangold/Michael Green,Logan,False,267
2017,2018,90,WRITING (Adapted Screenplay),Aaron Sorkin,Molly's Game,False,268
2017,2018,90,WRITING (Adapted Screenplay),Virgil Williams/Dee Rees,Mudbound,False,269
2017,2018,90,WRITING (Original Screenplay),Emily V. Gordon/Kumail Nanjiani,The Big Sick,False,270
2017,2018,90,WRITING (Original Screenplay),Jordan Peele,Get Out,True,271
2017,2018,90,WRITING (Original Screenplay),Guillermo del Toro/Vanessa Taylor,The Shape of Water,False,272
2018,2019,91,ACTOR IN A LEADING ROLE,Bradley Cooper,A Star Is Born,False,273
2018,2019,91,ACTOR IN A LEADING ROLE,Rami Malek,Bohemian Rhapsody,True,274
2018,2019,91,ACTOR IN A LEADING ROLE,Viggo Mortensen,Green Book,False,275
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Green Book,True,276
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Adam Driver,BlacKkKlansman,False,277
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Sam Elliott,A Star Is Born,False,278
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Richard E. Grant,Can You Ever Forgive Me?,False,279
2018,2019,91,ACTRESS IN A LEADING ROLE,Yalitza Aparicio,Roma,False,280
2018,2019,91,ACTRESS IN A LEADING ROLE,Glenn Close,The Wife,False,281
2018,2019,91,ACTRESS IN A LEADING ROLE,Olivia Colman,The Favourite,True,282
2018,2019,91,ACTRESS IN A LEADING ROLE,Lady Gaga,A Star Is Born,False,283
2018,2019,91,ACTRESS IN A LEADING ROLE,Melissa McCarthy,Can You Ever Forgive Me?,False,284
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Marina de Tavira,Roma,False,285
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Regina King,If Beale Street Could Talk,True,286
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Emma Stone,The Favourite,False,287
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,The Favourite,False,288
2018,2019,91,ANIMATED FEATURE FILM,Brad Bird/John Walker/Nicole Paradis Grindle,Incredibles 2,False,289
