title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
Captain Underpants: The First Epic Movie,62.0,87.0,42.529,6.2,911.0
5-25-77,88.0,100.0,3.059,5.0,5.0
Half the Picture,70.0,100.0,4.58,5.8,8.0
Brimstone & Glory,80.0,92.0,1.131,5.0,1.0
Class Rank,67.0,86.0,4.707,7.2,43.0
The Last Man on the Moon,78.0,94.0,,,
Bones and All,62.0,82.0,,,
The Fight,71.0,99.0,2.815,6.6,10.0
The Fight,71.0,99.0,3.302,6.1,10.0
Ode to My Father,85.0,71.0,,,
The Beauty Inside,84.0,70.0,7.848,7.6,189.0
Happy Bhag Jayegi,40.0,83.0,2.619,6.3,24.0
Woodpeckers,90.0,80.0,2.95,6.0,14.0
Las Sandinistas!,83.0,88.0,,,
Gaia,43.0,85.0,8.834,5.9,89.0
10 Cloverfield Lane,79.0,90.0,24.118,7.0,6284.0
Autumn Lights,82.0,14.0,4.174,5.5,17.0
Mary and The Witch's Flower,70.0,89.0,,,
Seoul Searching,82.0,75.0,6.999,7.3,55.0
Simchas and Sorrows,98.0,70.0,,,
Between Worlds,81.0,32.0,15.811,5.2,159.0
Capernaum,93.0,90.0,15.12,8.3,1152.0
Better Watch Out,64.0,89.0,19.147,6.7,1051.0
The 355,86.0,24.0,9.498,0.0,0.0
Medusa,32.0,84.0,6.77,3.0,3.0
Medusa,32.0,84.0,0.6,0.0,0.0
Medusa,32.0,84.0,2.199,0.0,0.0
Baden Baden,47.0,95.0,2.284,6.1,23.0
Just Don't Think I'll Scream,62.0,94.0,2.456,7.2,28.0
Mascarpone,58.0,88.0,,,
Toni Erdmann,73.0,93.0,18.315,7.0,730.0
The Jungle Book,86.0,94.0,41.578,6.9,6855.0
Tiny Cinema,33.0,88.0,,,
Baby Driver,86.0,92.0,65.166,7.5,12509.0
Raw,76.0,93.0,19.383,7.1,2434.0
Four Samosas,87.0,69.0,,,
1917,88.0,89.0,48.875,8.0,8881.0
MVP,95.0,73.0,,,
Chi-Raq,50.0,82.0,5.71,5.8,145.0
Tigers Are Not Afraid,81.0,97.0,8.981,6.9,153.0
Abe & Phil's Last Poker Game,91.0,73.0,,,
Chasing Wonders,90.0,69.0,3.315,5.0,3.0
Generational Sins,97.0,33.0,,,
The Civil Dead,75.0,100.0,4.512,0.0,0.0
For Ahkeem,65.0,96.0,,,
East Side Sushi,83.0,95.0,,,
Dunkirk,81.0,92.0,30.255,7.5,13403.0
Test Pattern,51.0,96.0,1.937,7.3,4.0
One Fine Morning,67.0,92.0,,,
Some Like It Rare,71.0,100.0,6.339,7.1,49.0
Jigsaw,89.0,32.0,26.246,6.2,2830.0
My Name Is Emily,84.0,89.0,2.758,6.8,28.0
The Chambermaid,62.0,99.0,4.108,6.6,37.0
Poser,72.0,83.0,1.776,7.0,2.0
John Lewis: Good Trouble,66.0,94.0,3.014,5.9,7.0
The Seven Five,85.0,83.0,,,
American Murderer,94.0,76.0,,,
The Nile Hilton Incident,60.0,91.0,7.42,6.6,264.0
Graduation,82.0,94.0,11.49,6.7,203.0
Belle,95.0,95.0,,,
Women Who Kill,50.0,93.0,3.959,4.9,21.0
Bathtubs Over Broadway,90.0,100.0,,,
Downton Abbey: A New Era,97.0,86.0,,,
The Alpinist,97.0,93.0,11.004,6.1,8.0
Nomad: In the Footsteps of Bruce Chatwin,57.0,90.0,2.554,6.6,19.0
He Never Died,65.0,88.0,6.661,6.1,339.0
The Tashkent Files,82.0,0.0,3.141,7.8,30.0
Gandhi Godse - Ek Yudh,82.0,0.0,,,
Stuck,83.0,52.0,1.246,5.0,3.0
Stuck,83.0,52.0,1.595,6.3,3.0
Goodnight Mommy,66.0,85.0,,,
Zero,81.0,27.0,4.162,5.2,61.0
Zero,81.0,27.0,1.4,0.0,0.0
Zero,81.0,27.0,1.217,5.8,4.0
Zero,81.0,27.0,0.821,6.2,5.0
Zero,81.0,27.0,1.4,4.8,4.0
Zero,81.0,27.0,0.6,0.0,0.0
Last Cab to Darwin,80.0,89.0,3.544,7.1,49.0
My Name Is Pauli Murray,89.0,93.0,,,
Cemetery of Splendor,60.0,96.0,4.75,5.7,113.0
A Cop Movie,79.0,93.0,91.351,7.3,11.0
"Confess, Fletch",75.0,86.0,,,
Truman,80.0,99.0,6.879,7.0,290.0
The Last Black Man in San Francisco,84.0,92.0,10.441,7.2,178.0
Sweaty Betty,46.0,89.0,0.656,6.0,2.0
Faults,68.0,92.0,,,
Man in Red Bandana,94.0,63.0,,,
The Good Boss,86.0,92.0,7.047,6.3,6.0
Gett: The Trial of Viviane Amsalem,81.0,100.0,,,
Dachra,75.0,86.0,1.24,6.9,19.0
Ask Dr. Ruth,94.0,92.0,,,
Castle Falls,46.0,88.0,24.029,6.0,10.0
Maggie's Plan,52.0,86.0,13.225,5.7,298.0
Queenpins,82.0,47.0,16.219,7.0,55.0
All Square,76.0,91.0,3.349,6.4,11.0
The Maestro,89.0,83.0,2.871,6.5,3.0
The Maestro,89.0,83.0,0.6,0.0,0.0
Borg vs. McEnroe,74.0,84.0,,,
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,87.0,100.0,,,
The Lobster,65.0,87.0,15.99,7.0,4655.0
After Ever Happy,92.0,0.0,,,
Lost in Paris,68.0,87.0,3.483,6.0,86.0
Radio Dreams,20.0,95.0,1.961,6.5,4.0
Wendell & Wild,65.0,81.0,,,
"Life, Animated",81.0,94.0,8.498,7.7,111.0
Outside In,77.0,96.0,6.404,6.3,62.0
After Everything,72.0,84.0,3.895,6.8,44.0
The Nightingale,57.0,90.0,29.165,7.2,330.0
Funny Story,70.0,83.0,3.564,6.0,22.0
7 Days,80.0,86.0,0.887,6.5,15.0
Lives Well Lived,89.0,100.0,,,
"Bo Gia (Dad, I'm Sorry)",98.0,29.0,,,
Jazz Fest: A New Orleans Story,97.0,93.0,,,
Emergency,72.0,92.0,4.574,0.0,0.0
The Search for General Tso,75.0,90.0,,,
Still Alice,85.0,85.0,,,
Vitalina Varela,57.0,97.0,3.326,7.4,29.0
Buoyancy,96.0,97.0,2.317,7.4,23.0
Buoyancy,96.0,97.0,0.945,0.0,0.0
A Prayer Before Dawn,75.0,92.0,23.479,6.8,404.0
Faces Places,89.0,99.0,8.048,7.7,291.0
Nureyev: Lifting the Curtain,62.0,85.0,,,
Tahara,50.0,97.0,3.005,7.5,2.0
Wonder,88.0,85.0,35.27,8.2,6555.0
Wonder,88.0,85.0,0.6,0.0,0.0
At the Heart of Gold: Inside the USA Gymnastics Scandal,91.0,100.0,6.697,7.4,47.0
Flux Gourmet,59.0,85.0,2.649,0.0,0.0
Star Trek Beyond,80.0,86.0,25.131,6.8,5495.0
Monos,85.0,92.0,12.441,6.7,253.0
Memories of My Father,89.0,82.0,13.79,8.0,76.0
What She Said: The Art of Pauline Kael,55.0,88.0,3.658,6.4,9.0
Stonewall,84.0,9.0,6.558,6.1,104.0
Don't Call Me Son,65.0,83.0,4.615,6.5,58.0
