title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
The Box,89.0,89.0,0.6,4.0,1.0
Huesera: The Bone Woman,68.0,99.0,,,
All My Friends Hate Me,62.0,89.0,1.612,0.0,0.0
Manchester by the Sea,78.0,96.0,20.975,7.5,4617.0
VooDoo,96.0,30.0,2.843,4.7,16.0
Oklahoma City,88.0,97.0,4.813,7.0,46.0
All Things Must Pass,82.0,94.0,7.016,7.2,71.0
Kailash,95.0,80.0,,,
"J.R. ""Bob"" Dobbs & The Church of the SubGenius",36.0,100.0,,,
Bar Bahar,77.0,98.0,,,
Standing Tall,75.0,81.0,5.86,7.2,377.0
President,83.0,91.0,,,
Back Roads,98.0,53.0,5.272,6.2,18.0
Marriage Story,85.0,95.0,22.404,7.8,5249.0
The Florida Project,80.0,96.0,14.674,7.4,2053.0
The Monkey King 2,52.0,100.0,10.912,5.8,62.0
This Much I Know To Be True,96.0,100.0,,,
The Nightingale,73.0,86.0,29.165,7.2,330.0
BuyBust,66.0,83.0,3.27,6.1,36.0
Searching for Ingmar Bergman,78.0,92.0,1.229,5.8,10.0
Los Reyes,67.0,100.0,1.043,7.0,5.0
Torn,88.0,100.0,,,
Billy the Kid,86.0,82.0,,,
Cyrano,86.0,85.0,5.054,0.0,0.0
Mission of Honor,47.0,86.0,,,
Indignation,74.0,81.0,7.655,6.4,217.0
The Mindfulness Movement,100.0,50.0,,,
Repeat,64.0,83.0,4.503,5.0,4.0
All Quiet on the Western Front,90.0,89.0,,,
Blaze,66.0,95.0,6.553,6.2,37.0
The Hole in the Ground,47.0,83.0,14.491,5.6,489.0
Tango Shalom,90.0,71.0,6.464,8.0,2.0
Number 37,74.0,94.0,1.11,5.4,14.0
Resurrection,46.0,81.0,2.561,5.6,14.0
Resurrection,46.0,81.0,7.683,7.0,1.0
Fighting With My Family,86.0,93.0,,,
Furious 7,82.0,81.0,73.044,7.3,8759.0
Top Gun: Maverick,99.0,96.0,,,
Guidance,59.0,88.0,,,
The Mole Agent,84.0,95.0,12.913,8.2,138.0
Rafiki,71.0,94.0,5.986,7.1,106.0
Newton,81.0,94.0,5.805,7.1,98.0
Amy,87.0,95.0,20.811,7.6,972.0
Tantura,100.0,93.0,,,
Chhichhore,91.0,58.0,6.083,7.8,74.0
Summertime,74.0,92.0,8.8,6.8,256.0
Summertime,74.0,92.0,5.535,6.3,267.0
Summertime,74.0,92.0,2.564,7.5,6.0
Misbehaviour,56.0,86.0,14.832,6.4,167.0
Sharkwater Extinction,91.0,100.0,5.25,7.2,49.0
Chasing the Blues,40.0,83.0,1.126,0.0,0.0
Sgt. Stubby: An American Hero,92.0,89.0,12.859,7.4,97.0
The Force,65.0,87.0,2.419,6.9,17.0
Blood Father,63.0,89.0,15.011,6.2,1197.0
Old Fashioned,84.0,17.0,,,
Night Raiders,46.0,82.0,9.656,7.3,3.0
Bacurau,84.0,93.0,10.72,7.9,779.0
The Spine of Night,57.0,81.0,8.176,6.4,5.0
Roh,56.0,90.0,1.413,5.0,10.0
Hal,65.0,90.0,2.599,6.3,4.0
Last Film Show,86.0,93.0,3.775,0.0,0.0
The Pink Cloud,38.0,93.0,1.253,5.9,7.0
Guardians of the Galaxy Vol. 2,87.0,85.0,89.005,7.6,17371.0
Young Plato,100.0,100.0,,,
Mr. Holmes,70.0,88.0,11.511,6.5,1526.0
Ittefaq,76.0,90.0,4.473,7.0,63.0
The Great Alaskan Race,83.0,20.0,8.893,6.1,26.0
One Cut of the Dead,87.0,100.0,7.822,7.7,427.0
Memory: The Origins of Alien,92.0,81.0,12.236,6.2,45.0
BlacKkKlansman,83.0,96.0,15.773,7.6,6000.0
Riot Girls,41.0,90.0,3.27,5.1,20.0
The Territory,81.0,97.0,,,
We the Animals,75.0,92.0,6.14,6.5,105.0
Guilty,89.0,90.0,2.287,5.2,7.0
Guilty,89.0,90.0,5.485,6.8,40.0
Beirut,57.0,82.0,15.722,6.3,412.0
Spring,70.0,85.0,1.282,7.4,5.0
Spring,70.0,85.0,0.6,0.0,0.0
Ballet 422,62.0,87.0,,,
Soorma,86.0,50.0,3.882,7.5,23.0
Reefa,86.0,89.0,,,
Those Who Remained,67.0,100.0,2.469,7.6,9.0
Who Will Write Our History,91.0,94.0,,,
Richard Linklater: Dream Is Destiny,58.0,94.0,4.882,7.1,15.0
The Party,61.0,82.0,0.6,6.8,4.0
The Party,61.0,82.0,0.879,7.0,1.0
The Party,61.0,82.0,7.954,6.4,387.0
Extra Ordinary,77.0,98.0,8.689,6.4,136.0
Escapes,83.0,90.0,3.138,5.7,10.0
The Aeronauts,95.0,72.0,0.6,10.0,1.0
The Aeronauts,95.0,72.0,15.113,6.8,783.0
Mission: Impossible Rogue Nation,87.0,94.0,,,
The Icarus Line Must Die,71.0,100.0,,,
Did You Wonder Who Fired the Gun?,53.0,86.0,2.809,6.0,10.0
Brittany Runs a Marathon,87.0,88.0,7.005,6.7,353.0
Neon Bull,67.0,88.0,3.975,6.9,70.0
Kékszakállú,60.0,93.0,2.829,4.3,7.0
Champion,57.0,89.0,3.979,6.3,16.0
Champion,57.0,89.0,2.947,9.0,3.0
Being Evel,83.0,98.0,3.671,7.1,22.0
Babylon,45.0,100.0,0.6,7.0,1.0
The Shape of Water,72.0,92.0,46.979,7.3,10161.0
Alex & Eve,60.0,82.0,2.455,5.8,28.0
The Desert Bride,57.0,89.0,2.784,6.4,13.0
Araby,82.0,93.0,2.42,7.9,29.0
Take My Nose... Please!,100.0,92.0,,,
Apollo 11,90.0,99.0,15.878,7.9,445.0
Golden Arm,85.0,100.0,2.977,6.6,8.0
Dear Zoe,89.0,71.0,,,
Puss in Boots: The Last Wish,94.0,95.0,,,
Walking Out,56.0,90.0,15.929,5.7,111.0
Citizen Jane: Battle for the City,69.0,95.0,3.579,7.4,13.0
The Jesus Music,97.0,63.0,2.714,8.0,1.0
Mayhem,66.0,84.0,12.135,6.5,455.0
Bone Tomahawk,74.0,91.0,19.473,6.8,1517.0
Emily the Criminal,79.0,94.0,11.147,0.0,0.0
Salt in My Soul,94.0,100.0,,,
The Price of Everything,94.0,93.0,4.24,7.1,18.0
Beauty and the Dogs,89.0,68.0,3.38,6.8,47.0
Quincy,84.0,82.0,6.736,7.4,72.0
Gosnell,96.0,60.0,,,
Words on Bathroom Walls,94.0,89.0,14.736,8.0,354.0
Every Time I Die,58.0,100.0,,,
Memoria,47.0,100.0,2.738,5.1,18.0
Memoria,47.0,100.0,0.6,0.0,0.0
Memoria,47.0,100.0,4.711,7.2,9.0
Clara,91.0,54.0,9.625,7.4,122.0
Clara,91.0,54.0,2.101,5.5,2.0
Kingsman: The Secret Service,84.0,75.0,,,
EMMA.,72.0,86.0,,,
The Velvet Queen,77.0,100.0,1.062,0.0,0.0
The Swimmers,85.0,82.0,,,
Of Fathers and Sons,75.0,96.0,2.904,7.1,39.0
Batman: Return of the Caped Crusaders,67.0,94.0,8.052,6.4,176.0
Beasts Clawing at Straws,83.0,95.0,32.954,7.2,124.0
Birds of Passage,85.0,96.0,1.122,5.8,5.0
Birds of Passage,85.0,96.0,7.444,7.4,206.0
A Private War,62.0,88.0,13.043,6.8,371.0
The Treasure,40.0,95.0,3.15,6.4,43.0
Blue Bayou,93.0,75.0,10.508,7.2,25.0
Over the Moon,69.0,81.0,79.446,7.4,977.0
Lost Illusions,89.0,93.0,11.831,7.5,76.0
Lost Illusions,89.0,93.0,10.525,7.5,107.0
The Hours and Times,58.0,82.0,,,
"Acasa, My Home",83.0,100.0,,,
Bright,83.0,26.0,22.427,6.2,4679.0
Battle of the Sexes,71.0,84.0,12.966,6.8,1490.0
The Nest,46.0,90.0,1.4,5.0,3.0
The Nest,46.0,90.0,13.479,6.2,173.0
The Nest,46.0,90.0,6.316,6.3,205.0
Thank You for Playing,71.0,90.0,,,
Parallel Mothers,78.0,96.0,12.597,7.0,73.0
Marshall,84.0,81.0,17.947,7.3,460.0
Chained for Life,54.0,100.0,,,
Blood on the Mountain,60.0,90.0,,,
Palio,84.0,95.0,2.458,7.4,18.0
Max Reload and the Nether Blasters,59.0,85.0,,,
12 Days,67.0,95.0,2.555,7.1,38.0
Restless Creature: Wendy Whelan,71.0,100.0,,,
How to Train Your Dragon: The Hidden World,87.0,90.0,51.411,7.8,4803.0
The Wounded Man,82.0,86.0,,,
Identifying Features,85.0,99.0,5.646,6.8,26.0
The Macaluso Sisters,71.0,100.0,4.461,7.2,66.0
Fatima,96.0,57.0,4.716,6.2,101.0
Fatima,96.0,57.0,12.826,7.2,56.0
Sing 2,98.0,72.0,100.172,0.0,0.0
Mank,60.0,83.0,16.331,6.9,1077.0
The Girl With All the Gifts,67.0,85.0,,,
Shadow,80.0,94.0,9.6,6.8,208.0
Paul Taylor: Creative Domain,100.0,67.0,,,
Mrs. Harris Goes to Paris,93.0,94.0,,,
After Yang,70.0,90.0,3.595,0.0,0.0
Jinn,80.0,91.0,2.45,5.4,8.0
In Front of Your Face,80.0,94.0,2.368,10.0,1.0
I Carry You With Me,82.0,97.0,,,
Slash,58.0,92.0,4.032,5.9,30.0
#Female Pleasure,100.0,94.0,1.943,7.8,20.0
Sand Storm,79.0,93.0,3.955,5.9,70.0
(T)ERROR,75.0,91.0,2.883,6.4,29.0
Lez Bomb,67.0,89.0,4.737,7.3,33.0
The Death of Stalin,79.0,94.0,14.642,7.0,1330.0
A Monster Calls,81.0,86.0,21.925,7.2,2667.0
Bill Nye: Science Guy,71.0,100.0,3.462,6.1,27.0
Annihilation,66.0,88.0,34.522,6.4,6792.0
I'm Your Man,81.0,96.0,11.867,6.7,36.0
Bad Match,43.0,100.0,5.332,5.6,142.0
Bad Day for the Cut,73.0,92.0,5.563,6.4,116.0
Phoenix,78.0,98.0,0.6,7.0,3.0
Phoenix,78.0,98.0,0.84,0.0,0.0
Fire of Love,83.0,98.0,4.784,8.0,1.0
Midsommar,63.0,83.0,34.476,7.1,4251.0
Revenge,58.0,93.0,2.519,5.4,15.0
Revenge,58.0,93.0,26.641,6.4,1316.0
Revenge,58.0,93.0,1.772,4.8,9.0
Watcher,67.0,88.0,0.668,0.0,0.0
Watcher,67.0,88.0,4.364,5.5,2.0
All This Panic,68.0,94.0,2.956,6.6,12.0
Luther: The Fallen Sun,85.0,68.0,,,
Shirkers,79.0,99.0,8.282,7.6,91.0
The Changed,81.0,82.0,1.201,0.0,0.0
The Deer King,84.0,56.0,1.237,8.0,1.0
A Man of Integrity,75.0,100.0,1.441,6.5,31.0
The Long Walk,83.0,94.0,1.226,7.0,3.0
A-ha: The Movie,83.0,83.0,,,
Dior and I,77.0,84.0,5.372,7.3,95.0
Tetris,91.0,79.0,,,
Scandalous: The Untold Story of the National Enquirer,75.0,83.0,2.297,6.0,5.0
The Roundup,100.0,96.0,0.6,5.0,2.0
Badlapur,65.0,92.0,5.761,7.1,93.0
National Bird,60.0,100.0,4.184,6.9,22.0
2022 Oscar Nominated Shorts - Animation,29.0,100.0,,,
"Nico, 1988",60.0,93.0,4.456,7.1,65.0
A Stray,75.0,100.0,,,
Sollers Point,60.0,85.0,2.193,5.6,15.0
Under the Shadow,73.0,99.0,6.929,6.5,486.0
Path of Blood,69.0,85.0,2.132,6.7,15.0
Sully,84.0,85.0,24.248,7.1,5754.0
"Aliens, Clowns & Geeks",86.0,100.0,0.662,0.0,0.0
Maze,46.0,92.0,6.423,5.9,61.0
Loudmouth,100.0,67.0,,,
Unrest,93.0,100.0,4.079,7.3,32.0
Unrest,93.0,100.0,1.76,0.0,0.0
Redeeming Love,95.0,11.0,36.147,8.8,6.0
Alanis,59.0,100.0,23.012,6.3,31.0
On Sacred Ground,100.0,33.0,,,
Cop Secret,91.0,84.0,1.218,6.5,2.0
Krisha,77.0,95.0,6.415,6.9,144.0
Hope Springs Eternal,31.0,88.0,,,
Love & Friendship,60.0,96.0,16.413,6.1,417.0
Her Smell,44.0,84.0,9.532,5.8,81.0
Jeremiah Tower: The Last Magnificent,67.0,84.0,3.041,6.4,5.0
A Ciambra,76.0,89.0,5.328,7.3,118.0
Adopting Audrey,85.0,79.0,,,
Miss Hokusai,70.0,93.0,7.036,6.9,91.0
5B,97.0,100.0,2.781,6.9,7.0
Joshy,54.0,81.0,6.646,5.5,88.0
Cheatin',69.0,84.0,,,
Loveless,83.0,95.0,11.807,7.4,563.0
In the Basement,58.0,86.0,0.6,6.0,3.0
Burning,80.0,95.0,13.75,7.4,1037.0
Burning,80.0,95.0,3.853,0.0,0.0
American Factory,81.0,95.0,12.031,7.2,329.0
Difret,70.0,86.0,,,
Dumplin',73.0,87.0,14.849,6.9,1183.0
The Duke,85.0,97.0,3.241,6.8,14.0
Mifune: The Last Samurai,77.0,84.0,3.032,7.0,32.0
Rapid Response,100.0,67.0,3.115,8.0,4.0
Ex Machina,86.0,92.0,26.475,7.6,10829.0
Miss Kiet's Children,80.0,100.0,0.6,7.4,5.0
The Cakemaker,81.0,97.0,6.594,7.0,88.0
David Crosby: Remember My Name,87.0,93.0,,,
Taylor Swift: Miss Americana,91.0,92.0,,,
Dinner in America,86.0,91.0,5.965,6.7,20.0
A Vigilante,47.0,90.0,12.588,5.5,255.0
Fortune Favors Lady Nikuko,80.0,91.0,1.428,8.0,1.0
The Greatest Showman,86.0,56.0,34.913,8.0,7734.0
Nitram,76.0,93.0,3.428,8.2,6.0
Charlotte Has Fun,87.0,100.0,,,
By the Grace of God,73.0,96.0,12.144,7.2,400.0
Antonio Lopez 1970: Sex Fashion & Disco,57.0,85.0,4.527,7.1,8.0
Tickling Giants,91.0,100.0,3.539,7.8,25.0
These Final Hours,64.0,85.0,,,
The Penny Black,100.0,100.0,2.586,0.0,0.0
Woodstock: Three Days That Defined a Generation,85.0,87.0,,,
Boys State,90.0,95.0,9.359,7.3,58.0
Sweet Thing,43.0,89.0,3.382,7.7,8.0
Hearts Beat Loud,74.0,92.0,10.37,7.1,191.0
Klaus,96.0,95.0,28.844,8.3,2617.0
Saint-Narcisse,41.0,96.0,6.437,4.0,2.0
Angels Wear White,76.0,94.0,2.532,6.9,37.0
Long Weekend,82.0,67.0,5.602,7.7,25.0
Disobedience,75.0,84.0,39.932,7.0,867.0
The Banshees of Inisherin,75.0,96.0,,,
Uncharted,90.0,41.0,37.179,0.0,0.0
Miss Sharon Jones!,88.0,91.0,2.605,7.3,12.0
Let It Fall: Los Angeles 1982-1992,89.0,100.0,3.843,7.7,18.0
Kicks,73.0,85.0,11.069,6.6,102.0
Sye Raa Narasimha Reddy,87.0,57.0,4.178,6.4,20.0
Mustang,88.0,97.0,12.783,7.8,1117.0
Bye Bye Germany,78.0,90.0,2.391,6.6,49.0
A Good Person,96.0,55.0,,,
Cat Daddies,90.0,86.0,,,
The Farewell,87.0,97.0,17.423,7.5,1014.0
The Farewell,87.0,97.0,0.6,0.0,0.0
Sicilian Ghost Story,66.0,91.0,4.999,6.7,120.0
Navalny,88.0,98.0,15.208,2.2,138.0
Yesterday,89.0,63.0,0.6,0.0,0.0
Yesterday,89.0,63.0,18.667,6.7,2914.0
Death on the Nile,82.0,62.0,128.213,3.5,2.0
A Love Song,71.0,95.0,1.668,0.0,0.0
And Then We Danced,95.0,94.0,7.712,7.6,125.0
Southside With You,71.0,91.0,,,
"Love, Simon",88.0,92.0,35.982,8.1,5156.0
Chhapaak,85.0,88.0,3.032,7.8,18.0
Straight Up,69.0,93.0,3.543,7.1,41.0
Stars Fell Again,100.0,40.0,,,
Star Wars: The Last Jedi,42.0,91.0,53.115,6.9,12394.0
Dream Horse,97.0,88.0,5.452,7.1,36.0
The Ground Beneath My Feet,71.0,90.0,2.343,5.8,19.0
Arabian Nights: Volume 3 -- The Enchanted One,47.0,88.0,,,
Recorder: The Marion Stokes Project,60.0,95.0,2.925,6.8,5.0
The Great Hack,66.0,85.0,14.851,6.8,370.0
Women Talking,80.0,90.0,,,
The Founder,82.0,81.0,20.726,7.1,3720.0
The Breadwinner,88.0,95.0,15.169,7.9,560.0
A Man Called Otto,97.0,69.0,,,
Last Christmas,81.0,46.0,26.396,7.3,1645.0
VFW,63.0,83.0,7.925,5.9,137.0
Sidemen: Long Road to Glory,100.0,100.0,,,
The Summit of the Gods,90.0,100.0,3.842,7.8,39.0
No Greater Love,94.0,100.0,,,
What Our Fathers Did: A Nazi Legacy,73.0,87.0,,,
Black Souls,70.0,91.0,,,
Queen Mimi,74.0,91.0,2.672,7.0,9.0
A Hero,83.0,97.0,2.374,0.0,0.0
Jay Myself,87.0,89.0,3.304,6.3,4.0
Silence,69.0,83.0,27.222,7.1,2399.0
Silence,69.0,83.0,0.602,0.0,0.0
Silence,69.0,83.0,0.6,0.0,0.0
Man vs Snake: The Long and Twisted Tale of Nibbler,75.0,89.0,,,
Laila Majnu,83.0,60.0,1.869,5.2,5.0
Before You Know It,56.0,83.0,,,
Pig,84.0,97.0,1.22,5.6,15.0
Pig,84.0,97.0,0.6,0.0,0.0
Pig,84.0,97.0,23.144,6.7,354.0
The Wandering Earth II,97.0,79.0,,,
The Sisters Brothers,68.0,87.0,11.227,6.8,1485.0
Uncut Gems,52.0,91.0,23.575,7.1,3290.0
Vadh,85.0,50.0,,,
Colette,69.0,87.0,15.909,7.0,694.0
Colette,69.0,87.0,1.76,7.2,25.0
Echoes of Violence,78.0,100.0,2.774,5.5,3.0
My True Fairytale,99.0,60.0,2.815,7.0,4.0
Bisbee '17,60.0,93.0,2.972,7.1,15.0
Two Lottery Tickets,67.0,92.0,2.574,6.9,46.0
Elle,73.0,91.0,12.518,6.6,1444.0
Sea of Shadows,100.0,94.0,6.927,7.8,44.0
Giant Little Ones,84.0,94.0,7.403,7.4,174.0
The Sparks Brothers,98.0,96.0,7.586,7.2,19.0
Weathering With You,96.0,92.0,,,
Avatar: The Way of Water,92.0,76.0,,,
The Love Witch,61.0,95.0,12.62,6.2,314.0
Through the Glass Darkly,83.0,75.0,4.562,5.0,3.0
Wolfwalkers,98.0,99.0,24.212,8.5,610.0
The Night House,69.0,88.0,48.402,6.8,303.0
Let the Wrong One In,86.0,88.0,,,
The Wonders,67.0,96.0,,,
My Best Part,0.0,88.0,3.768,5.4,48.0
Gift,89.0,100.0,0.6,6.0,1.0
20th Century Women,74.0,88.0,13.608,7.3,903.0
Seymour: An Introduction,79.0,100.0,,,
The Photograph,81.0,75.0,7.987,6.6,154.0
The Photograph,81.0,75.0,0.606,0.0,0.0
Ocean Boy,100.0,56.0,,,
Ashes in the Snow,82.0,56.0,7.325,6.7,85.0
A Chiara,58.0,91.0,2.169,0.0,0.0
Animals,73.0,86.0,1.732,5.4,14.0
Animals,73.0,86.0,4.152,6.0,31.0
Animals,73.0,86.0,0.6,0.0,0.0
Animals,73.0,86.0,0.6,0.0,0.0
Godland,90.0,89.0,,,
"Lyle, Lyle, Crocodile",93.0,72.0,,,
Rapture,85.0,96.0,,,
Beautiful Beings,83.0,85.0,2.79,0.0,0.0
Get Out,86.0,98.0,43.424,7.6,13434.0
Demain,89.0,93.0,,,
Gasoline Alley,89.0,35.0,7.124,0.0,0.0
A Gray State,58.0,100.0,4.578,6.2,35.0
Southbound,51.0,81.0,8.903,6.0,451.0
Southbound,51.0,81.0,15.481,6.0,476.0
Tethered,85.0,29.0,34.225,5.5,4.0
4 Days in France,45.0,91.0,2.162,6.6,17.0
Alcarràs,68.0,92.0,2.582,0.0,0.0
Code 8,61.0,81.0,5.022,6.6,114.0
Code 8,61.0,81.0,28.05,6.2,1321.0
A Cops and Robbers Story,100.0,71.0,,,
Zappa,80.0,96.0,6.404,7.4,19.0
Boiling Point,85.0,99.0,0.6,8.0,1.0
Boiling Point,85.0,99.0,8.638,0.0,0.0
Collective,90.0,99.0,6.243,7.8,85.0
The Magician's Elephant,85.0,65.0,,,
Hooligan Sparrow,75.0,97.0,2.075,7.4,8.0
The Handmaiden,91.0,96.0,28.204,8.3,2472.0
Three Identical Strangers,88.0,96.0,12.36,7.4,486.0
Sprinter,92.0,73.0,,,
What Still Remains,49.0,90.0,3.234,5.2,32.0
The Cat Rescuers,100.0,92.0,,,
Mid90s,81.0,80.0,,,
White Snake,84.0,70.0,66.867,7.8,243.0
The Upside,81.0,43.0,17.822,7.1,892.0
Prevenge,53.0,91.0,5.7,5.6,168.0
The Runner,89.0,31.0,8.446,4.7,133.0
The Runner,89.0,31.0,3.142,4.7,3.0
Love & Taxes,50.0,100.0,,,
Echoes of the Empire: Beyond Genghis Khan,100.0,100.0,,,
Halston,88.0,77.0,3.832,5.7,11.0
It Comes at Night,44.0,88.0,12.86,5.8,1832.0
The Irishman,86.0,95.0,24.228,7.7,5021.0
Strange but True,83.0,55.0,8.307,5.8,103.0
Those Who Wish Me Dead,86.0,62.0,111.181,7.0,929.0
Light of My Life,73.0,82.0,12.967,6.5,399.0
Backstreet Boys: Show 'Em What You're Made Of,83.0,71.0,,,
Neither Wolf Nor Dog,94.0,82.0,,,
The Last Laugh,75.0,98.0,2.798,5.4,14.0
The Last Laugh,75.0,98.0,2.884,6.9,14.0
The Last Laugh,75.0,98.0,7.739,5.4,133.0
Longing,100.0,75.0,0.6,0.0,0.0
Longing,100.0,75.0,0.6,0.0,0.0
Cairo Conspiracy,89.0,77.0,,,
63 Up,94.0,98.0,,,
Benediction,65.0,93.0,2.626,0.0,0.0
The Dead Center,46.0,94.0,4.165,5.6,43.0
King Georges,56.0,100.0,2.703,5.1,11.0
Anaïs in Love,76.0,90.0,3.759,6.6,13.0
I Am Not Your Negro,83.0,99.0,8.935,7.8,352.0
In Search of Greatness,87.0,92.0,,,
Apples,72.0,93.0,3.328,6.7,37.0
Depraved,47.0,84.0,3.349,5.9,27.0
If Beale Street Could Talk,71.0,95.0,10.041,7.0,873.0
Mistress America,66.0,82.0,15.481,6.6,410.0
Darkest Hour,82.0,84.0,20.623,7.4,4133.0
The B-Side: Elsa Dorfman's Portrait Photography,67.0,97.0,3.491,6.9,17.0
Frozen II,92.0,77.0,140.404,7.3,7748.0
Spaceship Earth,61.0,88.0,4.232,6.3,34.0
Dream Boat,43.0,86.0,3.376,5.7,66.0
"The Godfather, Coda: The Death of Michael Corleone",78.0,86.0,,,
Megan Leavey,82.0,86.0,17.19,7.2,583.0
Champs,95.0,67.0,5.138,7.0,30.0
Pyewacket,51.0,83.0,10.018,6.0,220.0
Bombshell: The Hedy Lamarr Story,85.0,95.0,7.364,7.0,75.0
Tickled,86.0,94.0,7.732,7.3,298.0
Deadpool,90.0,85.0,151.313,7.6,25753.0
Rose Plays Julie,42.0,95.0,2.253,6.4,9.0
The Blind Man Who Did Not Want to See Titanic,89.0,92.0,1.588,6.3,3.0
The Innocents,73.0,96.0,11.415,7.1,312.0
The Innocents,73.0,96.0,1.935,4.8,10.0
The Innocents,73.0,96.0,2.301,6.7,3.0
So B. It,90.0,45.0,,,
Eat Wheaties!,88.0,68.0,3.919,6.0,3.0
The Salt of the Earth,90.0,95.0,,,
Echo in the Canyon,92.0,90.0,5.596,6.9,24.0
93Queen,88.0,95.0,3.12,7.8,4.0
War for the Planet of the Apes,84.0,94.0,54.724,7.1,7016.0
Our Friend,95.0,85.0,28.861,7.2,168.0
Bergman Island,54.0,83.0,11.886,6.7,31.0
Assassination,84.0,83.0,21.82,7.4,155.0
Chi-Town,88.0,100.0,,,
Operation Fortune: Ruse de guerre,82.0,51.0,,,
This Changes Everything,100.0,88.0,3.424,6.3,8.0
Famous,88.0,100.0,2.744,0.0,0.0
Queen & Slim,92.0,83.0,16.096,7.2,469.0
Predestination,75.0,84.0,,,
Saint Frances,75.0,99.0,4.093,6.6,37.0
Mosul,99.0,83.0,8.769,6.7,149.0
Mosul,99.0,83.0,13.38,7.3,90.0
Dancer,85.0,88.0,5.22,7.8,49.0
Triumph,90.0,40.0,2.964,6.9,7.0
Planet Earth: One Amazing Day,84.0,100.0,,,
I Am Another You,84.0,95.0,3.016,7.6,8.0
Joseph Pulitzer: Voice of the People,83.0,78.0,,,
Trust Machine: The Story of Blockchain,79.0,90.0,4.119,5.6,5.0
The Inspection,91.0,90.0,,,
Dogman,78.0,84.0,13.971,7.6,1815.0
Who We Are Now,70.0,96.0,4.09,5.7,27.0
"Introducing, Selma Blair",80.0,100.0,6.51,0.0,0.0
King Cohen: The Wild World of Filmmaker Larry Cohen,84.0,100.0,3.924,6.8,9.0
Eden,57.0,83.0,0.6,0.0,0.0
Eden,57.0,83.0,0.655,6.0,1.0
Eden,57.0,83.0,1.4,7.5,6.0
Eden,57.0,83.0,0.6,8.5,2.0
Eden,57.0,83.0,0.84,0.0,0.0
Only the Brave,91.0,87.0,22.355,7.3,1123.0
Infinity Pool,51.0,88.0,,,
Wild Canaries,41.0,83.0,,,
Mortal Kombat,86.0,54.0,437.271,7.3,4011.0
Fire in the Mountains,100.0,88.0,,,
When Two Worlds Collide,80.0,91.0,2.515,7.2,10.0
Rosenwald,97.0,94.0,,,
Judy,85.0,82.0,11.657,6.8,866.0
Judy,85.0,82.0,0.6,0.0,0.0
"Tick, Tick... Boom!",96.0,88.0,,,
The Batman,87.0,85.0,43.728,0.0,0.0
Herself,84.0,94.0,3.659,7.2,39.0
"The Gangster, the Cop, the Devil",94.0,97.0,17.121,7.5,375.0
Bodied,86.0,89.0,7.976,7.5,77.0
Patti Cake$,78.0,85.0,8.231,6.7,165.0
"My Donkey, My Lover & I",81.0,89.0,8.085,6.5,196.0
James White,70.0,92.0,5.427,6.5,89.0
Don't Blink -- Robert Frank,71.0,84.0,,,
Too Late to Die Young,50.0,96.0,3.281,6.4,24.0
#Unfit: The Psychology of Donald Trump,67.0,81.0,,,
Jesus Revolution,99.0,62.0,,,
The Never List,100.0,60.0,,,
We're All Going to the World's Fair,27.0,91.0,2.006,7.0,7.0
John Wick: Chapter 3 -- Parabellum,86.0,89.0,,,
Prosecuting Evil: The Extraordinary World of Ben Ferencz,100.0,100.0,,,
Do I Sound Gay?,47.0,82.0,,,
Gleason,90.0,96.0,,,
Aquarius,78.0,97.0,0.6,0.0,0.0
Aquarius,78.0,97.0,9.028,7.5,377.0
The Wolf and the Lion,90.0,29.0,29.723,6.3,23.0
Miss Juneteenth,57.0,99.0,3.99,6.9,20.0
King Otto,100.0,81.0,3.723,0.0,0.0
Eiffel,89.0,48.0,20.677,6.4,125.0
"Riotsville, USA",53.0,91.0,2.931,8.0,1.0
Great Freedom,91.0,97.0,2.376,0.0,0.0
Citizen Ashe,88.0,97.0,9.88,0.0,0.0
Cold Case Hammarskjöld,74.0,83.0,2.835,6.9,23.0
National Parks Adventure,52.0,100.0,,,
Ramen Shop,74.0,86.0,5.419,6.8,74.0
Supercell,89.0,50.0,,,
Pinball: The Man Who Saved the Game,98.0,92.0,,,
Violet Evergarden,100.0,80.0,,,
Every Breath You Take,89.0,20.0,18.3,6.0,102.0
Sicario,85.0,92.0,48.921,7.4,6492.0
Te Ata,95.0,65.0,4.513,7.0,22.0
Emily,84.0,89.0,0.6,0.0,0.0
Emily,84.0,89.0,1.473,10.0,1.0
Ryuichi Sakamoto: Coda,84.0,98.0,4.245,7.4,22.0
Fantastic Beasts: The Secrets of Dumbledore,83.0,46.0,,,
The Volcano: Rescue From Whakaari,83.0,82.0,,,
Aftersun,81.0,96.0,,,
Love & Mercy,85.0,90.0,,,
High Ground,75.0,90.0,4.531,6.6,38.0
The King,83.0,71.0,31.169,7.2,2218.0
The King,83.0,71.0,6.371,7.7,55.0
The King,83.0,71.0,3.478,6.1,17.0
Old Stone,67.0,94.0,1.422,6.8,15.0
My Entire High School Sinking Into the Sea,54.0,84.0,3.326,6.8,25.0
Once Were Brothers: Robbie Robertson and The Band,86.0,84.0,3.959,6.9,8.0
Last Men in Aleppo,75.0,97.0,3.314,7.1,57.0
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",98.0,99.0,,,
The Pickle Recipe,90.0,36.0,2.61,1.5,1.0
